"table b5: worry about crime by personal characteristics, people aged 16 and over, year ending march 2025",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,unknown
Link to Notes,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,unknown
Link to Table of contents ,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Personal characteristics [note 1],Personal characteristics breakdown,Percentage with high level of worry about burglary,Percentage with high level of worry about car crime,Percentage with high level of worry about fraud [note 2],Percentage with high level of worry about violent crime,Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people,7.691737143980958,7.008187179993695,16.82460569989223,7.791190786433456,7821,unknown
All people,16-24,6.905938430854001,6.573669781430939,7.773490388122735,7.973147133202168,466,unknown
All people,25-34,6.597332793458481,7.402677649805891,10.06055221682943,8.53792549500788,1081,unknown
All people,35-44,9.09812186196357,8.141477074321433,15.91310090080784,9.029349633284326,1291,unknown
All people,45-54,7.983294367638375,8.654449637980758,20.02061465284271,9.702895777601722,1215,unknown
All people,55-64,9.043454279692565,6.308130634726786,21.84868316420836,6.862624151219368,1361,unknown
All people,65-74,6.361479371282909,6.271488309251784,23.80529913852351,7.093244755553382,1207,unknown
All people,75+,7.290838632501321,4.529306425265258,18.90892557305484,3.964823163917881,1200,unknown
Men,Men,6.319675727426273,7.294409749603781,13.26599247352149,3.808251607336232,3676,unknown
Men,16-24,6.498854585856334,5.265232788669961,7.073616310590404,1.868206021082845,221,unknown
Men,25-34,5.974808800957986,6.905365472934889,8.640724030120234,4.795593166865329,486,unknown
Men,35-44,6.381884913148202,8.452930567548085,12.14731010464583,5.073401282906995,584,unknown
Men,45-54,5.792514121334139,9.938885944856999,15.79923253987079,5.484835740826107,570,unknown
Men,55-64,9.134765274781092,6.132058919037502,18.14678946151695,2.565278406071602,645,unknown
Men,65-74,4.662342374381832,7.85336849865715,17.37265288761207,3.212374687204113,611,unknown
Men, 75+,5.041882175706139,5.240589144915482,13.9203356748767,2.706015070763685,559,unknown
Women,Women,9.017771112876453,6.717346390144622,20.26329704179711,11.54972319730443,4145,unknown
Women,16-24,7.3339054126577,8.08576041083582,8.496612539563381,13.98197701085902,245,unknown
Women,25-34,7.274980314672401,7.945570467087387,11.5076699146744,12.29190956784267,595,unknown
Women,35-44,11.70109601540045,7.831650043187357,19.40597623754243,12.55564724199546,707,unknown
Women,45-54,10.13962074615182,7.382842937365069,23.78489397149467,13.41487010453092,645,unknown
Women,55-64,8.961885305963957,6.48230741410851,25.68032603578019,11.27762754583695,716,unknown
Women,65-74,7.993373039204117,4.759497213722256,30.05028693578776,10.76334315090583,596,unknown
Women,75+,9.133461631400767,3.833880715400988,23.34350934098841,5.061078116449274,641,unknown
Ethnic group,White ,5.946245681221717,4.983525308731293,16.26670026847902,5.569171314404468,6562,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,5.857558720775295,4.676530925517118,15.92073407518318,4.865464857976646,5961,unknown
Ethnic group,   Irish,6.345312953911312,1.977388449853255,18.24320598670744,6.028010743291476,67,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],[u],[u],4,unknown
Ethnic group,   Any other white background,6.870675990767761,9.377196247665005,19.05709320870267,11.69838105954486,530,unknown
Ethnic group,Mixed/Multiple,15.53957687607667,9.126548054552382,13.02581568095406,18.14422240271453,111,unknown
Ethnic group,   White and Black Caribbean,[u],[u],[u],[u],37,unknown
Ethnic group,   White and Black African,[u],[u],[u],[u],21,unknown
Ethnic group,   White and Asian,[u],[u],[u],[u],26,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,[u],[u],[u],[u],27,unknown
Ethnic group,Asian/Asian British,16.41348473061998,19.25047098229666,18.95195157848999,16.31999116928156,647,unknown
Ethnic group,   Indian,15.69529302866173,22.48455264512959,17.55307349993653,18.6470563866417,268,unknown
Ethnic group,   Pakistani,15.88867313814072,18.73670497906803,21.50181604598707,11.19704753441947,145,unknown
Ethnic group,   Bangladeshi,25.46759813580185,16.27594189798829,13.94613661470724,15.98356132045078,58,unknown
Ethnic group,   Chinese,16.1513429235706,5.459133429867505,21.44656170137543,19.8747478211141,67,unknown
Ethnic group,   Any other Asian background,13.31727146104605,20.72283363078224,19.88496200623118,15.26295093491306,109,unknown
Ethnic group,Black/African/Caribbean/Black British,13.17097161210169,17.9453470880819,20.01939662147557,17.81373529281748,374,unknown
Ethnic group,   African,12.42378000700056,19.08941938379435,21.9203918722321,20.63667956636952,260,unknown
Ethnic group,   Caribbean,15.34796693750405,17.13605176637143,14.01734197519621,8.131780713005854,91,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],[u],[u],[u],23,unknown
Ethnic group,Other ethnic group,8.950840413757396,11.24108088838896,18.8223492825781,10.57849477523566,97,unknown
Ethnic group,   Arab,[u],[u],[u],[u],28,unknown
Ethnic group,   Any other ethnic group,3.124071751398239,13.07882241571553,11.49494351240267,8.623630932596404,69,unknown
Country of Birth,Born in the UK,6.347760494173521,5.264159368994172,15.6908504128304,5.448276407054812,6264,unknown
Country of Birth,Not born in the UK,12.49773511874087,14.81455019025862,20.67791379730847,15.93982666743404,1530,unknown
Marital status,Married or civil partnered,7.90320914900795,7.611749873204183,18.84649571108904,7.594669552419306,3418,unknown
Marital status,Cohabiting,5.918833192415262,6.523076691321876,15.10305733313007,6.49783417491625,731,unknown
Marital status,Single,7.347871397483006,6.018028702989476,11.67067378469531,8.355196893176489,2054,unknown
Marital status,Separated,7.914353703852815,11.08110017001021,19.45832524868419,14.85789305770185,154,unknown
Marital status,Divorced or legally dissolved partnership,9.533683103769137,6.288961003212607,23.15441131355895,9.631549908855158,702,unknown
Marital status,Widowed,9.227566697519624,4.708128375212788,20.61408589782842,5.99311793046498,709,unknown
Respondent's employment status,In employment,7.000659480254503,7.027711185374806,15.52086158243234,7.512840573284834,4441,unknown
Respondent's employment status,Unemployed,15.85439662699259,8.115217332560375,6.184523843103908,11.92430706605095,118,unknown
Respondent's employment status,Economically inactive,8.442221745840483,6.750171978590362,19.68756465215547,7.863682008154649,3239,unknown
Respondent's employment status,Economically inactive: Student,9.299136961611556,8.090674379610588,7.235628583336845,9.853447538357088,143,unknown
Respondent's employment status,Economically inactive: Looking after family/home,12.51508271826014,14.34026071413728,14.55649360692246,11.55355985938789,265,unknown
Respondent's employment status,Economically inactive: Long-term/temporarily sick/ill,13.16478287599252,8.961343229945934,29.37915299090363,16.90247137659829,469,unknown
Respondent's employment status,Economically inactive: Retired,6.832885874266051,5.152495108284143,21.2134948578118,5.35783009523159,2271,unknown
Respondent's employment status,Economically inactive: Other inactive,9.065493522880537,12.37183851463021,12.47026441939441,5.877718068365127,91,unknown
Respondent's occupation,Managerial and professional occupations,5.632115211743194,5.229392351124029,14.84228155548514,4.793609666780528,3014,unknown
Respondent's occupation,Intermediate occupations,6.739712720718892,7.190829261806695,19.32265880271366,8.986951306819503,1660,unknown
Respondent's occupation,Routine and manual occupations,10.55969186277514,8.676948122837912,19.44312400408435,9.197100857260972,2455,unknown
Respondent's occupation,Never worked and long-term unemployed,12.84429535466275,14.01365819920385,16.54174533456666,14.38749640236488,314,unknown
Respondent's occupation,Full-time students,7.138503968844619,6.049713836454415,8.281912669377277,11.48301443507269,225,unknown
Respondent's occupation,Not classified,8.733926211491434,14.75967889899482,20.85947886977983,12.89255728195329,153,unknown
Respondent's highest qualification,Degree or diploma,5.913163725890475,6.681095927653812,15.30433996807246,7.006738427196907,3706,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,7.478423260918018,6.490127890004785,16.57960615616023,5.470722520497088,1177,unknown
Respondent's highest qualification,O level/GCSE,9.28661579439199,5.76096669104072,18.63916785075835,9.141464757264878,1260,unknown
Respondent's highest qualification,Other,12.38263594066386,8.19424480108861,20.10574164666598,12.51003081742494,353,unknown
Respondent's highest qualification,,11.01649807190257,10.6995459340171,19.4487532010543,10.91794646961827,1244,unknown
Disability [note 4],Disabled,11.10916997669558,7.25337811162377,24.29637785140653,9.973586331256007,1773,unknown
Disability [note 4],Not disabled,6.960479996252697,6.949110320302977,14.92577822588581,7.181830787092881,6000,unknown
Religion,No religion,4.473836650129902,4.43627896982454,11.65417738403174,5.262154693235906,3135,unknown
Religion,Christian,8.031006596373972,7.002675437460533,21.18493752511986,8.815935425511737,3943,unknown
Religion,Buddhist,[u],[u],[u],[u],43,unknown
Religion,Hindu,13.10357537524376,16.69469113955466,16.44125130945777,15.40416357874342,140,unknown
Religion,Jewish,[u],[u],[u],[u],28,unknown
Religion,Muslim,16.98889271790801,17.51690659795602,19.08761914081231,12.82361755094042,390,unknown
Religion,Sikh,[u],[u],[u],[u],33,unknown
Religion,Other,[u],[u],[u],[u],45,unknown
Sexual orientation [note 5],Heterosexual,7.53334396378855,6.692306365350774,17.2269840148751,7.404247871415387,6582,unknown
Sexual orientation [note 5],Gay or Lesbian,8.490375148199504,2.074512367489833,6.414319835244513,5.76342553349728,105,unknown
Sexual orientation [note 5],Bisexual,2.486341484641644,3.06674825449065,5.281281950900611,3.25641743003465,160,unknown
Sexual orientation [note 5],Other,[u],[u],[u],[u],35,unknown
Gender identity [note 6],Gender identity the same as sex registered at birth,7.271318158931421,6.506812221829417,16.40837740617973,7.389710259315111,6466,unknown
Gender identity [note 6],Gender identity different from sex registered at birth,[u],[u],[u],[u],49,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,13.12364994560719,10.18271373509661,24.6203122049529,10.59530224589341,1327,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,6.57133175104512,6.321375268122953,15.11548551834709,7.164177102388942,6494,unknown
Hours out of home on an average weekday,Less than 3 hours,7.655007713141014,6.336788213141962,17.62756393108667,7.697840879790234,3128,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,7.503179487635701,6.922972858388725,17.2937716566577,7.101534411521173,2197,unknown
Hours out of home on an average weekday,7 hours or longer,7.748169849715916,7.445947902032793,15.45185538169002,8.314364998584587,2446,unknown
Number of evening visits to pub/bar in the last month,,10.08373117183359,8.653273961214216,18.43317036749619,9.533785691708454,4615,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,4.960590609208756,5.203281714578865,15.46703508894398,5.919484097855039,2225,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,3.576538552960419,5.273707132057128,13.05469354282462,4.55793651837478,974,unknown
Number of visits to a nightclub/disco in the last month,,7.908747342719351,7.046393551231425,17.04608560774609,7.889646327677256,7529,unknown
Number of visits to a nightclub/disco in the last month,1-3 times a month,3.634481266999237,6.986803337901544,11.76371181076838,5.477793043117419,249,unknown
Number of visits to a nightclub/disco in the last month,4+ times a month,[u],[u],[u],[u],37,unknown
