"table c16: community safety partnerships: categories of anti-social behaviour incidents, year ending march 2024 [note 1[note 2]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,unknown
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,unknown
Source: Home Office - Police recorded crime,,,`,,,,,,,unknown
"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name",Total recorded ASB,Environmental,Nuisance,Personal,unknown
E23000029,Thames Valley,E22000310,Slough,E06000039,Slough,1610,120,1213,277,unknown
E23000029,Thames Valley,E22000311,South Bucks,E06000060,South Bucks,448,49,328,71,unknown
E23000029,Thames Valley,E22000312,South Oxfordshire,E07000179,South Oxfordshire,798,82,572,144,unknown
E23000029,Thames Valley,,Unassigned Thames Valley,,,76,6,55,15,unknown
E23000029,Thames Valley,E22000313,Vale of White Horse,E07000180,Vale of White Horse,809,80,556,173,unknown
E23000029,Thames Valley,E22000314,West Berkshire,E06000037,West Berkshire,1285,104,947,234,unknown
E23000029,Thames Valley,E22000315,West Oxfordshire,E07000181,West Oxfordshire,666,53,483,130,unknown
E23000029,Thames Valley,E22000316,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,835,69,599,167,unknown
E23000029,Thames Valley,E22000317,Wokingham,E06000041,Wokingham,912,83,706,123,unknown
E23000029,Thames Valley,E22000318,Wycombe,E06000060,Wycombe,1383,104,1067,212,unknown
E23000017,Warwickshire,,,,,7765,793,5181,1791,unknown
E23000017,Warwickshire,E22000319,North Warwickshire,E07000218,North Warwickshire,920,89,619,212,unknown
E23000017,Warwickshire,E22000320,Nuneaton and Bedworth,E07000219,Nuneaton and Bedworth,2376,251,1628,497,unknown
E23000017,Warwickshire,E22000321,Rugby,E07000220,Rugby,1075,98,694,283,unknown
E23000017,Warwickshire,E22000359,South Warwickshire,Combined Local Authorities,,3389,355,2236,798,unknown
E23000017,Warwickshire,,Unassigned Warwickshire,,,5,0,4,1,unknown
E23000016,West Mercia,,,,,16929,901,14115,1913,unknown
E23000016,West Mercia,E22000326,"Herefordshire, County of",E06000019,"Herefordshire, County of",2157,136,1753,268,unknown
E23000016,West Mercia,E22000368,North Worcestershire,Combined Local Authorities,,3802,216,3155,431,unknown
E23000016,West Mercia,E22000360,Shropshire,E06000051,Shropshire,3430,176,2885,369,unknown
E23000016,West Mercia,E22000332,South Worcester,Combined Local Authorities,,4566,224,3811,531,unknown
E23000016,West Mercia,E22000333,Telford and Wrekin,E06000020,Telford and Wrekin,2973,148,2511,314,unknown
E23000016,West Mercia,,Unassigned West Mercia,,,1,1,0,0,unknown
E23000014,West Midlands,,,,,26511,3187,19548,3776,unknown
E23000014,West Midlands,E22000335,Birmingham,E08000025,Birmingham,11325,1418,8325,1582,unknown
E23000014,West Midlands,E22000336,Coventry,E08000026,Coventry,3465,627,2323,515,unknown
E23000014,West Midlands,E22000337,Dudley,E08000027,Dudley,2261,233,1719,309,unknown
E23000014,West Midlands,E22000338,Sandwell,E08000028,Sandwell,2769,250,2142,377,unknown
E23000014,West Midlands,E22000339,Solihull,E08000029,Solihull,1378,152,980,246,unknown
E23000014,West Midlands,,Unassigned West Midlands,,,0,0,0,0,unknown
E23000014,West Midlands,E22000340,Walsall,E08000030,Walsall,3028,307,2330,391,unknown
E23000014,West Midlands,E22000341,Wolverhampton,E08000031,Wolverhampton,2285,200,1729,356,unknown
E23000010,West Yorkshire,,,,,27337,559,26429,349,unknown
E23000010,West Yorkshire,E22000342,Bradford,E08000032,Bradford,6692,125,6479,88,unknown
E23000010,West Yorkshire,E22000343,Calderdale,E08000033,Calderdale,2065,46,1989,30,unknown
E23000010,West Yorkshire,E22000344,Kirklees,E08000034,Kirklees,4680,166,4459,55,unknown
E23000010,West Yorkshire,E22000345,Leeds,E08000035,Leeds,9079,143,8829,107,unknown
E23000010,West Yorkshire,,Unassigned West Yorkshire,,,103,3,97,3,unknown
E23000010,West Yorkshire,E22000346,Wakefield,E08000036,Wakefield,4718,76,4576,66,unknown
E23000038,Wiltshire ,,,,,8785,467,6168,2150,unknown
E23000038,Wiltshire ,E22000350,Swindon,E06000030,Swindon,3358,149,2396,813,unknown
E23000038,Wiltshire ,,Unassigned Wiltshire,,,0,0,0,0,unknown
E23000038,Wiltshire,E22000361,Wiltshire,E06000054,Wiltshire,5427,318,3772,1337,unknown
,British Transport Police,,British Transport Police,,,28548,537,26470,1541,unknown
,BTP - CENTRAL,,BTP - CENTRAL,,,28548,537,26470,1541,unknown
