"table s5:  perceptions of the local police by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
Any other Black background,76.90599266218902,83.5193862082896,64.29535012212482,72.48319258052854,64.00012077386975,80.62595214983916,82.32593784654055,61,unknown
Other ethnic group,75.13413695321248,91.45038517885241,77.96479707438523,70.31058089028967,66.15044620690958,85.31015617319369,81.58709646151758,298,unknown
Arab,80.04498816698155,89.87353401354287,80.7776422231845,64.73680955273181,64.80243812291963,85.68200638617569,82.3565148686583,100,unknown
Any other ethnic group,72.51333317630304,92.26477446785012,76.47540055355087,73.3022754294182,66.85469977204374,85.11339575261705,81.18292475562353,198,unknown
Marital status,,,,,,,,,unknown
Married/civil partnered,59.13899473562614,89.15881065381205,69.81966905332341,70.52017757779275,59.3162640871433,82.33790228274762,79.1410138616702,15702,unknown
Cohabiting,61.70946852385237,86.71324059707554,67.54895251430443,68.56513034431507,57.20619694160863,79.71488079778271,76.98581765938383,3542,unknown
Single,66.35814680291404,85.12467552584691,66.08519707970196,67.10248546919894,58.98602111700476,79.07008992923981,76.78796049168784,7672,unknown
Separated,60.18008087056012,86.65870549135116,64.41951064700933,66.3435617414247,56.16689104332353,78.67494583710138,75.5042808758179,993,unknown
Divorced/legally dissolved partnership,58.75219208400109,87.52558388245039,65.29322304749489,70.7393166530328,58.93991532093252,78.67913573014043,76.57078388730018,3021,unknown
Widowed,64.57196088693654,93.49041380614257,72.38534195831453,74.76624906092671,67.86216194470649,86.31344785529829,84.59703079241723,3301,unknown
Respondent's employment status,,,,,,,,,unknown
In employment,62.11536092906258,87.61239697856712,68.71135458214334,69.1304956276191,58.23268742299611,81.09483166348676,78.50128524692377,19712,unknown
Unemployed,59.20101296965671,82.9205354933731,62.06170381165976,62.22572890242336,52.952503932770476,71.95806190598545,71.8444016663617,647,unknown
Economically inactive,60.74158623953457,88.89756182625939,68.27614453468256,70.86734380067108,61.82860403016222,81.88229425925924,78.60358248310341,13917,unknown
Student,76.85324247735107,88.58510518998254,68.2693371152316,73.31138543098194,64.68183412191672,85.75051382412175,83.78254705191902,704,unknown
Looking after family/home,64.16735323864381,86.9145574495856,68.08465823353944,73.18523379385354,64.19086691890054,79.93443570268684,76.90910111315287,1569,unknown
Long-term/temporarily sick/ill,57.364451219690174,80.61866655514908,63.092838384851746,64.67783248523695,55.26117939485765,71.97994725808152,66.57944859053802,1432,unknown
Retired,57.346395593109946,90.85653771978677,69.2568946875261,71.27653183272388,62.08638383336569,83.51999090702319,80.2495673252553,9851,unknown
Other inactive,63.10964171426836,85.19455862987756,66.0275282351638,63.209833666259605,56.47191906927071,74.14466932430106,71.13511294433505,361,unknown
Respondent's occupation (NS-SEC),,,,,,,,,unknown
Managerial and professional occupations,60.1466166690927,89.01137090009311,66.5859498132171,68.41243783119715,56.458563572364426,82.70319071032097,80.45294027212061,12302,unknown
Intermediate occupations,58.872894108233666,87.99455598811548,69.29581584763447,69.68131632816203,58.882889358078614,80.78029401540292,77.09726810043563,7881,unknown
Routine and manual occupations,61.51544564346645,87.14502238169585,69.9162859376865,69.96824061340227,61.33648995965213,79.47591337859873,76.30514499087899,11625,unknown
Never worked and long-term unemployed,67.25484705990382,84.08292184351738,66.57234943303311,69.85323875908858,62.43302853187645,76.33468941782226,76.05628469437336,1153,unknown
Full-time students,75.6522799628789,88.5635122261103,68.00712085663653,72.97210041204923,65.01646285451056,85.01254871484927,83.51931136247127,1062,unknown
Not classified,62.52714218799089,85.42225150449147,70.64209750196359,73.12893310072923,61.14774515447364,81.1341125200458,76.46445727724075,270,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,unknown
2. Unweighted base refers to overall confidence in the local police. Other bases will be similar.,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,unknown
"Table S5: Perceptions of the local police by personal characteristics, year ending March 2018 CSEW1 (continued)",,,,,,,,,unknown
Highest qualification,,,,,,,,,unknown
Degree or diploma,62.43226799946777,88.74213197867208,67.13590351830666,69.36752814410796,58.291506261313216,82.5279729873023,80.43632696423302,13775,unknown
Apprenticeship or A/AS level,58.50322699968488,86.75486477417648,68.00410739139707,67.31428499589173,55.529048606301444,79.96233623120094,76.0443137606996,6012,unknown
O level/GCSE,58.60022925053756,87.3139065809127,66.97930431115424,68.31556014963344,58.05215163308327,78.9410946812888,76.17946767046202,6107,unknown
Other,64.71219439083032,87.82179090519921,73.17591965512109,73.76963562377023,65.19911080393071,82.3296668665129,77.69802888264086,1459,unknown
,65.12837900559542,88.14235039496437,72.17849988553533,72.88778105044295,66.13840644390882,81.35848947648053,78.60416388087133,6829,unknown
Long-standing illness or disability ,,,,,,,,,unknown
Long-standing illness or disability ,55.4151885481926,86.94797157434277,65.1793008661002,67.02617039587126,57.22650300152732,78.55529984623682,73.97627974783256,8176,unknown
Limits activities,55.72482502549973,86.4948494176898,64.91808453382299,66.64253941630291,57.109982809079085,77.53965859903425,73.08605544477082,6579,unknown
Does not limit activities,54.319142225944574,88.70894410196297,66.14376438244308,68.4346008871254,57.5932216392758,82.48479081674473,77.42398651373354,1592,unknown
No long-standing illness or disability ,63.17972117249692,88.2565228654341,69.26955070898114,70.25110785039766,59.89837991156979,81.82486407904067,79.55790842414945,25815,unknown
Internet usage,,,,,,,,,unknown
Used in last 12 months,61.144178862463264,87.68068383452292,67.79077024825115,69.08138529498868,58.39469320155969,80.87800825230985,78.14071133020786,29085,unknown
Not used in last 12 months,64.67250019107945,90.0359927985244,73.06633891040055,73.4506034993699,66.89141854574414,83.18029253107694,80.16803414494646,5204,unknown
Overall level of perceived ASB3,,,,,,,,,unknown
High,49.240875218959744,82.50509122068351,57.28817763058747,59.43740716485949,42.667663547876955,69.30436004555311,60.44694705245534,757,unknown
Not high,64.18462600720294,89.21452014768661,69.29222677290917,71.76578553283973,62.55591047651099,83.39820943262968,81.52503048049526,7628,unknown
Experience of crime in last 12 months (excluding fraud and computer misuse),,,,,,,,,unknown
Victim,54.84746048616847,84.98755049099856,62.78844815288932,65.18774664202897,51.554855741442594,75.62571562090368,69.47720742963591,4496,unknown
Not a victim,62.682324296971125,88.45363465430138,69.33088696586218,70.31033669554793,60.664051926582964,82.06798193356167,79.8701141504361,29797,unknown
Experience of crime in last 12 months (including fraud and computer misuse)4,,,,,,,,,unknown
Victim,56.814440715008274,85.58277142417381,63.305900717077414,65.77063125249877,53.38347475144484,77.35200454887617,71.92329740224575,4868,unknown
Not a victim,63.1030097311443,88.27237107621328,69.47821590939144,69.9452118758802,60.68348045513092,81.86944633230702,79.89096368045033,20539,unknown
3. The relevant questions relating to overall level of perceived anti-social behaviour are only asked of one quarter of the CSEW sample.,,,,,,,,,unknown
4. Combined bases for the 'Experience of crime in the last 12 months (including fraud and computer misuse)' are smaller as questions relating to Fraud victimisation were only been asked of the full sample from October 2017 onwards and were previously only asked of half the sample. ,,,,,,,,,unknown
