"table s22: awareness of police and crime commissioners, people aged 16 and over, by personal characteristics, year ending march 2024 [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to Notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,Percentage who said they were aware of Police and Crime Commissioners,"Unweighted base - number of people aged 16 and over [note 2, 3] ",unknown
All people,All people,58.95257097335813,13049,unknown
All people,16-24,28.156726481725272,641,unknown
All people,25-34,47.713902484504445,1708,unknown
All people,35-44,53.67460089837535,2013,unknown
All people,45-54,61.8633943837245,1849,unknown
All people,55-64,71.44623858164736,2340,unknown
All people,65-74,75.56892514192079,2313,unknown
All people,75+,68.66871060148826,2185,unknown
Men,Men,60.88099262116274,6032,unknown
Men,16-24,27.440085499037345,320,unknown
Men,25-34,51.33358998627928,734,unknown
Men,35-44,55.00843599913346,875,unknown
Men,45-54,61.44010939044081,858,unknown
Men,55-64,73.52748719528147,1110,unknown
Men,65-74,79.28131422805474,1109,unknown
Men,75+,75.84186459949396,1026,unknown
Women,Women,57.15619769183003,7017,unknown
Women,16-24,28.929847895971122,321,unknown
Women,25-34,44.366862751355555,974,unknown
Women,35-44,52.45012001132235,1138,unknown
Women,45-54,62.265006785634526,991,unknown
Women,55-64,69.50040349017739,1230,unknown
Women,65-74,72.26348311109592,1204,unknown
Women,75+,62.544175474368885,1159,unknown
Ethnic group,White ,62.96708022963483,11640,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,64.89936293646107,10847,unknown
Ethnic group,   Irish,67.0839354776598,90,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],1,unknown
Ethnic group,   Any other white background,34.632219159500046,702,unknown
Ethnic group,Mixed/Multiple,44.98303505431454,151,unknown
Ethnic group,   White and Black Caribbean,38.36533847936038,52,unknown
Ethnic group,   White and Black African,[u],24,unknown
Ethnic group,   White and Asian,[u],39,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,[u],36,unknown
Ethnic group,Asian/Asian British,29.304976550866435,763,unknown
Ethnic group,   Indian,35.063304036542995,327,unknown
Ethnic group,   Pakistani,24.357754058956278,185,unknown
Ethnic group,   Bangladeshi,[u],42,unknown
Ethnic group,   Chinese,28.121679910304685,76,unknown
Ethnic group,   Any other Asian background,25.089275812862294,133,unknown
Ethnic group,Black/African/Caribbean/Black British,35.20501961686263,362,unknown
Ethnic group,   African,30.47124656331378,261,unknown
Ethnic group,   Caribbean,48.065626087723565,81,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],20,unknown
Ethnic group,Other ethnic group,24.97794685132562,110,unknown
Ethnic group,   Arab,[u],27,unknown
Ethnic group,   Any other ethnic group,24.903762768354653,83,unknown
Country of Birth,Born in the UK,63.4766379574326,11070,unknown
Country of Birth,Not born in the UK,36.20969733063602,1959,unknown
Marital status,Married/civil partnered,66.2504183039083,5803,unknown
Marital status,Cohabiting,57.557212864244825,1214,unknown
Marital status,Single,42.18077391064854,3020,unknown
Marital status,Separated,61.09433662734831,343,unknown
Marital status,Divorced/legally dissolved partnership,64.13014357791873,1240,unknown
Marital status,Widowed,62.356945459839274,1339,unknown
Respondent's employment status,Employed,57.2446587275669,7037,unknown
Respondent's employment status,Unemployed,42.0982045035154,160,unknown
,Economically inactive,62.566597295030085,5821,unknown
Respondent's employment status,Economically inactive: student,28.63006864782835,204,unknown
Respondent's employment status,Economically inactive: looking after home/family,41.454724149060986,453,unknown
Respondent's employment status,Economically inactive: long-term sick/disabled,51.70531734371969,745,unknown
Respondent's employment status,Economically inactive: retired,72.99860797797429,4215,unknown
Respondent's employment status,Economically inactive: other inactive,47.33563186010134,204,unknown
Respondent's occupation,Managerial and professional occupations,69.88519996652853,4847,unknown
Respondent's occupation,Intermediate occupations,63.35664811042702,2919,unknown
Respondent's occupation,Routine and manual occupations,50.05551436758387,4229,unknown
Respondent's occupation,Never worked and long-term unemployed,33.331712726252135,510,unknown
Respondent's occupation,Full-time students,30.829296073570404,329,unknown
Respondent's occupation,Not classified,56.462083798241274,211,unknown
Respondent's highest qualification,Degree or diploma,66.49711375846287,5670,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,58.773516610521455,2185,unknown
Respondent's highest qualification,O level/GCSE,57.15913065744128,2183,unknown
Respondent's highest qualification,Other,47.39993327075519,590,unknown
Respondent's highest qualification,,40.8287777771,2312,unknown
Disability [note 4],Disabled,62.809055217254084,3144,unknown
Disability [note 4],Not disabled,57.952842885511295,9857,unknown
Religion,No religion,60.37823668516932,5478,unknown
Religion,Christian,62.28550796166383,6704,unknown
Religion,Buddhist,40.61717981043827,52,unknown
Religion,Hindu,38.318225609957544,177,unknown
Religion,Jewish,[u],32,unknown
Religion,Muslim,23.26294595383452,398,unknown
Religion,Sikh,31.18170968837454,63,unknown
Religion,Other,48.660536410654224,91,unknown
Sexual orientation [note 5],Heterosexual/straight,61.0434917024193,10576,unknown
Sexual orientation [note 5],Gay/Lesbian,56.14880420099494,187,unknown
Sexual orientation [note 5],Bisexual,56.107204572142074,249,unknown
Sexual orientation [note 5],Other,45.64391313290204,67,unknown
Gender identity [note 6],Gender identity the same as sex registered at birth,61.129185158055726,10246,unknown
Gender identity [note 6],Gender identity different from sex registered at birth,47.97342440268717,64,unknown
Overall level of perceived ASB [note 7],High,47.25931983484197,527,unknown
Overall level of perceived ASB [note 7],Not high,60.91878493395034,5859,unknown
Confidence in police and local council dealing with issues,Agree,57.815116650351946,5861,unknown
Confidence in police and local council dealing with issues,No opinion,59.11654476731814,3786,unknown
Confidence in police and local council dealing with issues,Disagree,62.261416225825144,2904,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,60.53639750007332,2063,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,58.64731577036069,10986,unknown
Hours out of home on an average weekday,Less than 3 hours,61.48245064594005,5621,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,60.77170082213653,3591,unknown
Hours out of home on an average weekday,7 hours or longer,54.50294955469447,3783,unknown
Number of evening visits to pub/bar in the last month,,55.11256692709478,7582,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,64.05791791649858,3742,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,62.74238679506283,1712,unknown
Number of visits to a nightclub/disco in the last month,,59.70159705912957,12623,unknown
Number of visits to a nightclub/disco in the last month,1-3 times a month,45.05868094283591,363,unknown
Number of visits to a nightclub/disco in the last month,4+ times a month,39.7516876642618,55,unknown
