"table c14:  anti-social behaviour incident and rates per 1,000 population, by police force area [note 1, 2, 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,unnamed: 30,unnamed: 31,unnamed: 32,unnamed: 33,unnamed: 34,unnamed: 35,unnamed: 36,unnamed: 37,age_band
"England and Wales, year ending March 2008 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Some shorthand is used in this table. [x] indicates that data are unavailable, [u1] indicates that rate per 1,000 population data for City of London have been suppressed due to the small population size of the police force area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"ASB incident data statistics are published as official statistics, not accredited official statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: ASB incidents: years ending March 2008 to March 2010 from the National Policing Improvement Agency (NPIA); year ending March 2011 from His Majesty's Inspectorate of Constabulary and Fire & rescue services (HMICFRS); from year ending March 2012 onwards from the Home Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Area Codes,Area name,"Apr 2007 to Mar 2008
Number of Incidents
","Apr 2007 to
 Mar 2008
Number per 1,000 population 
","Apr 2008 to Mar 2009
Number of Incidents
","Apr 2008 to
 Mar 2009
Number per 1,000 population
 ","Apr 2009 to Mar 2010
Number of Incidents
","Apr 2009 to
 Mar 2010
Number per 1,000 population
","Apr 2010 to Mar 2011
Number of Incidents
","Apr 2010 to
 Mar 2011
Number per 1,000 population
","Apr 2011 to Mar 2012
Number of Incidents
 [note 2]","Apr 2011 to
 Mar 2012
Number per 1,000 population
 [note 2,3]","Apr 2012 to Mar 2013
Number of Incidents
 [note 2]","Apr 2012 to
 Mar 2013
Number per 1,000 population 
[note 2]","Apr 2013 to Mar 2014
Number of Incidents
 [note 2]","Apr 2013 to
 Mar 2014
Number per 1,000 population 
[note 2]","Apr 2014 to Mar 2015
Number of Incidents
 [note 2]","Apr 2014 to
 Mar 2015
Number per 1,000 population 
[note 2]","Apr 2015 to Mar 2016
Number of Incidents
 [note 2]","Apr 2015 to Mar 2016
Number per 1,000 population
 [note 2]","Apr 2016 to Mar 2017
Number of Incidents
 [note 2]","Apr 2016 to Mar 2017
Number per 1,000 population
 [note 2]","Apr 2017 to Mar 2018
Number of Incidents
 [note 2]","Apr 2017 to Mar 2018
Number per 1,000 population 
[note 2]","Apr 2018 to Mar 2019
Number of Incidents 
[note 2]","Apr 2018 to Mar 2019
Number per 1,000 population
 [note 2]","Apr 2019 to Mar 2020
Number of Incidents
 [note 2]","Apr 2019 to Mar 2020
Number per 1,000 population 
[note 2]","Apr 2020 to Mar 2021
Number of Incidents
 [note 2]","Apr 2020 to Mar 2021
Number per 1,000 population 
[note 2]","Apr 2021 to Mar 2022
Number of Incidents 
[note 2]","Apr 2021 to Mar 2022
Number per 1,000 population
 [note 2]","Apr 2022 to Mar 2023
Number of Incidents 
[note 2]","Apr 2022 to Mar 2023
Number per 1,000 population
 [note 2]","Apr 2023 to Mar 2024
Number of Incidents 
[note 2]","Apr 2023 to Mar 2024
Number per 1,000 population
 [note 2]","Apr 2024 to Mar 2025
Number of Incidents 
[note 2]","Apr 2024 to Mar 2025
Number per 1,000 population
 [note 2]",unknown
,ENGLAND AND WALES (exc. BTP),3873916,71.80453529058131,3673523,67.54365055783516,3532250,64.40808202222688,3217817,58.25658117289696,2722663,48.88749408514691,2258805,40.21306253322114,2065877,36.520372828384545,1941885,34.099128877212316,1796936,31.281468088623956,1793428,30.98452240671725,1634408,28.002645846442732,1422695,24.236334718740498,1349053,22.862062546789975,2026298,34.16003981807279,1268310,21.341082358395305,1020727,17.10891778288773,1014838,16.847129051580332,993738,16.32967641116852,unknown
K04000001,ENGLAND AND WALES (inc. BTP),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2292726,40.81695144536247,2103528,37.18596354717444,1980933,34.78480428250016,1840592,32.04144160514149,1823352,31.5015104589271,1663315,28.497915377357362,1454103,24.77138601283108,1382733,23.432829052313394,2051984,34.593063382606246,1295733,21.802512530446517,1047645,17.56010389717663,1043386,17.321048869486752,1030278,16.930122782409327,unknown
