"table c18: community safety partnerships: percentage change between categories of anti-social behaviour, year ending march 2024 and year ending march 2025 [note 1][note 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,unknown
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,unknown
Source: Home Office - Police recorded crime,,,`,,,,,,,unknown
"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name",Total recorded ASB,Environmental,Nuisance,Personal,unknown
E23000008,Durham,E22000365,County Durham,E06000047,County Durham,5.534979423868313,-7.740916271721959,6.082319613397767,31.08677337826453,unknown
E23000008,Durham,E22000072,Darlington,E06000005,Darlington,17.136465324384787,4.406130268199234,19.190509420795536,30.357142857142854,unknown
E23000008,Durham,,Unassigned Durham,,,[x],[x],[x],[x],unknown
W15000004,Dyfed-Powys,,,,,-34.15125434902033,-54.0133779264214,-26.75049309664694,-56.62949194547707,unknown
W15000004,Dyfed-Powys,W14000010,Carmarthenshire,W06000010,Carmarthenshire,-38.316527838667255,-57.14285714285714,-31.90866510538642,-57.62195121951219,unknown
W15000004,Dyfed-Powys,W14000008,Ceredigion,W06000008,Ceredigion,-26.121794871794872,[u],-13.707865168539326,[u],unknown
W15000004,Dyfed-Powys,W14000009,Pembrokeshire,W06000009,Pembrokeshire,-28.88198757763975,-56.42857142857143,-20.227038183694532,-54.18994413407822,unknown
W15000004,Dyfed-Powys,W14000007,Powys,W06000023,Powys,-35.96214511041009,-43.84615384615385,-30.299785867237688,-56.86274509803921,unknown
W15000004,Dyfed-Powys,,Unassigned Dyfed-Powys,,,[x],[x],[x],[x],unknown
E23000028,Essex,,,,,-7.973856209150326,-37.528344671201815,5.211488250652742,-28.65992153623787,unknown
E23000028,Essex,E22000079,Basildon,E07000066,Basildon,-12.099125364431487,-36.95652173913043,-3.095752339812815,-29.809358752166375,unknown
E23000028,Essex,E22000080,Braintree,E07000067,Braintree,-2.978235967926689,[u],12.939001848428836,-26.618705035971225,unknown
E23000028,Essex,E22000081,Brentwood,E07000068,Brentwood,-9.164969450101832,[u],2.413793103448276,-23.03030303030303,unknown
E23000028,Essex,E22000082,Castle Point,E07000069,Castle Point,-11.617647058823529,[u],0.8791208791208791,-33.84615384615385,unknown
E23000028,Essex,E22000083,Chelmsford,E07000070,Chelmsford,-10.801963993453354,-37.80487804878049,-3.9215686274509802,-18.933333333333334,unknown
E23000028,Essex,E22000084,Colchester,E07000071,Colchester,-14.070080862533693,-58.59375,-1.3440860215053763,-27.986906710310965,unknown
E23000028,Essex,E22000085,Epping Forest,E07000072,Epping Forest,-16.269430051813472,-17.391304347826086,-10.305958132045088,-29.454545454545457,unknown
E23000028,Essex,E22000086,Harlow,E07000073,Harlow,-17.1875,[u],-8.006279434850864,-31.321839080459768,unknown
E23000028,Essex,E22000087,Maldon,E07000074,Maldon,-8.695652173913043,[u],21.428571428571427,[u],unknown
E23000028,Essex,E22000088,Rochford,E07000075,Rochford,1.4492753623188406,[u],14.666666666666666,-13.684210526315791,unknown
E23000028,Essex,E22000089,Southend-on-Sea,E06000033,Southend-on-Sea,-4.6211714132187,-16.666666666666664,15.755329008341057,-34.36619718309859,unknown
E23000028,Essex,E22000090,Tendring,E07000076,Tendring,-3.4741784037558685,[u],5.5059523809523805,-21.282798833819243,unknown
E23000028,Essex,E22000091,Thurrock,E06000034,Thurrock,-0.17543859649122806,-27.500000000000004,14.068100358422939,-26.848249027237355,unknown
E23000028,Essex,,Unassigned Essex,,,[x],[x],[x],[x],unknown
E23000028,Essex,E22000092,Uttlesford,E07000077,Uttlesford,-0.5830903790087464,[u],26.25298329355609,-42.05607476635514,unknown
E23000037,Gloucestershire,,,,,5.173069608216052,6.0409924487594395,9.125287734297927,-1.910464784716282,unknown
E23000037,Gloucestershire,E22000093,Cheltenham,E07000078,Cheltenham,-2.686108979278588,6.018518518518518,-6.696679797411368,5.872756933115824,unknown
E23000037,Gloucestershire,E22000094,Cotswold,E07000079,Cotswold,14.641744548286603,8.24742268041237,4.852686308492201,36.332179930795846,unknown
E23000037,Gloucestershire,E22000095,Forest of Dean,E07000080,Forest of Dean,17.595048629531387,0,32.270168855534706,6.192660550458716,unknown
E23000037,Gloucestershire,E22000096,Gloucester,E07000081,Gloucester,-4.044585987261146,-0.9803921568627451,12.966150315547905,-29.42162615255658,unknown
E23000037,Gloucestershire,E22000097,Stroud,E07000082,Stroud,11.940298507462686,4.794520547945205,20.143027413587607,-1.8957345971563981,unknown
E23000037,Gloucestershire,E22000098,Tewkesbury,E07000083,Tewkesbury,20.188195038494438,15.306122448979592,12.920353982300886,29.249011857707508,unknown
E23000037,Gloucestershire,,Unassigned Gloucestershire,,,[x],[x],[x],[x],unknown
E23000005,Greater Manchester,,,,,12.023837007964907,-7.872420262664165,4.708331665131921,26.469260047738857,unknown
E23000005,Greater Manchester,E22000099,Bolton,E08000001,Bolton,12.825511767163347,-15.045395590142672,5.362537764350453,33.80140421263791,unknown
E23000005,Greater Manchester,E22000100,Bury,E08000002,Bury,6.771463119709795,-3.7082818294190356,-3.982016698779704,21.028829847371398,unknown
E23000005,Greater Manchester,E22000101,Manchester,E08000003,Manchester,13.835859082857704,-6.121700879765396,4.141783856675015,28.140360458765702,unknown
E23000005,Greater Manchester,,Manchester Airport,,,17.547169811320753,[u],49.532710280373834,1.3123359580052494,unknown
E23000005,Greater Manchester,E22000102,Oldham,E08000004,Oldham,1.4596451058958215,-16.3659793814433,-1.5605749486652978,13.128957014328558,unknown
E23000005,Greater Manchester,E22000103,Rochdale,E08000005,Rochdale,16.016260162601625,-2.4958402662229617,13.526119402985074,25.855920114122682,unknown
E23000005,Greater Manchester,E22000104,Salford,E08000006,Salford,10.457719162141196,-13.463166807790008,7.673627974745021,21.060842433697346,unknown
E23000005,Greater Manchester,E22000105,Stockport,E08000007,Stockport,9.011494252873563,-4.038630377524144,-3.747940691927512,24.509803921568626,unknown
E23000005,Greater Manchester,E22000106,Tameside,E08000008,Tameside,8.886653252850437,-5.5895196506550215,-7.372881355932204,31.232208214721428,unknown
E23000005,Greater Manchester,E22000107,Trafford,E08000009,Trafford,12.151215121512152,-12.229299363057326,4.156862745098039,35.19245875883739,unknown
E23000005,Greater Manchester,,Unassigned Greater Manchester,,,[x],[x],[x],[x],unknown
E23000005,Greater Manchester,E22000108,Wigan,E08000010,Wigan,24.45141065830721,0.2553191489361702,23.01440709272257,35.92474263400781,unknown
W15000002,Gwent,,,,,12.265742128935532,22.639780018331805,0.30328763799587527,77.50373692077727,unknown
W15000002,Gwent,W14000019,Blaenau Gwent,W06000019,Blaenau Gwent,5.263157894736842,20.526315789473685,-9.30232558139535,85.24590163934425,unknown
W15000002,Gwent,W14000018,Caerphilly,W06000018,Caerphilly,12.78169014084507,13.350785340314136,1.8500486854917235,67.82178217821783,unknown
W15000002,Gwent,W14000021,Monmouthshire,W06000021,Monmouthshire,19.38872970391595,70.17543859649122,4.963680387409201,74.39024390243902,unknown
W15000002,Gwent,W14000022,Newport,W06000022,Newport,6.439078545656398,23.076923076923077,-3.7871033776867966,77.23342939481267,unknown
W15000002,Gwent,W14000020,Torfaen,W06000020,Torfaen,26.262626262626267,35.15625,12.982744453574362,89.1213389121339,unknown
W15000002,Gwent,,Unassigned Gwent,,,[x],[x],[x],[x],unknown
E23000030,Hampshire,,,,,-4.322189464315515,55.81140350877193,-26.93131279855049,-4.07843137254902,unknown
E23000030,Hampshire,E22000110,East Hampshire,E07000085,East Hampshire,-21.566265060240962,38.75,-48,[u],unknown
E23000030,Hampshire,E22000111,Eastleigh,E07000086,Eastleigh,-0.9259259259259258,60.35087719298245,-25.07082152974504,-5.617977528089887,unknown
E23000030,Hampshire,E22000112,Fareham,E07000087,Fareham,-16.079295154185022,52.47933884297521,-44.205298013245034,-9.67741935483871,unknown
E23000030,Hampshire,E22000113,Gosport,E07000088,Gosport,-41.74279690794097,-19.612590799031477,-51.978021978021985,-40,unknown
E23000030,Hampshire,E22000115,Havant,E07000090,Havant,2.0253164556962027,31.11111111111111,-10.886075949367088,15,unknown
E23000030,Hampshire,E22000116,Isle of Wight,E06000046,Isle of Wight,2.166666666666667,78.73134328358209,-22.395209580838323,2.0618556701030926,unknown
E23000030,Hampshire,E22000117,New Forest,E07000091,New Forest,8.30670926517572,77.31481481481481,-14.84375,7.228915662650602,unknown
E23000030,Hampshire,E22000374,North Hampshire,Combined Local Authorities,,18.234165067178505,106.158357771261,-14.318573893041977,0,unknown
E23000030,Hampshire,E22000118,Portsmouth,E06000044,Portsmouth,-8.677098150782362,51.79153094462541,-28.410757946210268,12.418300653594772,unknown
E23000030,Hampshire,E22000120,Southampton,E06000045,Southampton,18.10683424980361,119.74405850091408,-10.89708310401761,2.197802197802198,unknown
E23000030,Hampshire,E22000121,Test Valley,E07000093,Test Valley,-37.816901408450704,-6.96629213483146,-53.95189003436426,-34.31372549019608,unknown
E23000030,Hampshire,,Unassigned Hampshire,,,[x],[x],[x],[x],unknown
E23000030,Hampshire,E22000122,Winchester,E07000094,Winchester,9.12863070539419,92.51336898395722,-26.422764227642276,[u],unknown
E23000027,Hertfordshire,,,,,-13.33019681643535,-0.7699486700886607,-7.884589815184151,-35.302686953706704,unknown
E23000027,Hertfordshire,E22000123,Broxbourne,E07000095,Broxbourne,-17.470145953118088,-21.22641509433962,-12.6007326007326,-28.177966101694917,unknown
E23000027,Hertfordshire,E22000124,Dacorum,E07000096,Dacorum,-21.782945736434108,-8.072487644151565,-17.0752688172043,-42.324093816631134,unknown
E23000027,Hertfordshire,E22000125,East Hertfordshire,E07000242,East Hertfordshire,-8.57685009487666,21.88183807439825,-6.143790849673202,-35.80246913580247,unknown
E23000027,Hertfordshire,E22000126,Hertsmere,E07000098,Hertsmere,-13.230900554844215,-10.90047393364929,-3.065134099616858,-36.36363636363637,unknown
E23000027,Hertfordshire,E22000127,North Hertfordshire,E07000099,North Hertfordshire,-14.668423364075538,3.0023094688221708,-12.314886983632112,-33.68983957219251,unknown
E23000027,Hertfordshire,E22000128,St Albans,E07000240,St Albans,1.7328825021132712,17.05426356589147,12.106017191977077,-33.27615780445969,unknown
E23000027,Hertfordshire,E22000129,Stevenage,E07000243,Stevenage,-11.455641688199828,14.942528735632186,-6.0606060606060606,-38.00322061191627,unknown
E23000027,Hertfordshire,E22000130,Three Rivers,E07000102,Three Rivers,-9.573002754820937,-0.41841004184100417,0.7481296758104738,-35.03649635036496,unknown
E23000027,Hertfordshire,,Unassigned Hertfordshire,,,[x],[x],[x],[x],unknown
E23000027,Hertfordshire,E22000131,Watford,E07000103,Watford,-10.629067245119305,-7.9831932773109235,-7.575757575757576,-21.951219512195124,unknown
E23000027,Hertfordshire,E22000132,Welwyn Hatfield,E07000241,Welwyn Hatfield,-21.823472356935014,-8.695652173913043,-16.899141630901287,-42.62734584450402,unknown
E23000012,Humberside,,,,,-6.612754631999181,18.159806295399516,-5.962093636249529,-17.71058315334773,unknown
E23000012,Humberside,E22000133,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,-10.54407423028258,20,-10.57385759829968,-19.786096256684495,unknown
E23000012,Humberside,E22000134,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",-6.779661016949152,32.52032520325203,-6.6173882435762055,-18.340611353711793,unknown
E23000012,Humberside,E22000135,North East Lincolnshire,E06000012,North East Lincolnshire,3.6930455635491604,-5.154639175257731,7.1258907363420425,-12.5,unknown
E23000012,Humberside,E22000136,North Lincolnshire,E06000013,North Lincolnshire,-12.74457958751983,21.794871794871796,-13.333333333333334,-19.76284584980237,unknown
E23000012,Humberside,,Unassigned Humberside,,,,,,,unknown
E23000032,Kent,,,,,-4.908276151799468,-15.929941618015011,-5.482500505765729,5.433962264150943,unknown
E23000032,Kent,E22000137,Ashford,E07000105,Ashford,-9.132161089052751,-13.513513513513514,-9.22266139657444,-6.432748538011696,unknown
E23000032,Kent,E22000138,Canterbury,E07000106,Canterbury,-10.665044606650447,-39.25233644859813,-10.555815039701075,2.293577981651376,unknown
E23000032,Kent,E22000352,Dartford and Gravesham,Combined Local Authorities,,-10.0855587243972,-29.85781990521327,-10.287942411517696,5.448717948717949,unknown
E23000032,Kent,E22000140,Dover,E07000108,Dover,-4.2504307869040785,-1.5625,-4.359490274983233,-4.301075268817205,unknown
E23000032,Kent,E22000145,Folkestone and Hythe,E07000112,Folkestone and Hythe,1.9664967225054626,-11.864406779661017,0.8583690987124464,16.10738255033557,unknown
E23000032,Kent,E22000142,Maidstone,E07000110,Maidstone,14.116251482799525,9.523809523809524,13.613522156235724,20.851063829787233,unknown
E23000032,Kent,E22000143,Medway,E06000035,Medway,-4.028484231943032,-21.80094786729858,-4.217719132893497,5.869565217391305,unknown
E23000032,Kent,E22000144,Sevenoaks,E07000111,Sevenoaks,-4.636920384951881,[u],-7.745779543197617,17.894736842105264,unknown
E23000032,Kent,E22000146,Swale,E07000113,Swale,1.6031350195938723,-0.8333333333333334,0.24479804161566704,16.94915254237288,unknown
E23000032,Kent,E22000147,Thanet,E07000114,Thanet,-1.554001554001554,-25.842696629213485,-0.1364256480218281,-4.895104895104895,unknown
E23000032,Kent,E22000148,Tonbridge and Malling,E07000115,Tonbridge and Malling,-21.083978558665873,-11.29032258064516,-23.25423728813559,-2.8169014084507045,unknown
E23000032,Kent,E22000149,Tunbridge Wells,E07000116,Tunbridge Wells,-19.003115264797508,[u],-20.95509622238061,0,unknown
E23000032,Kent,,Unassigned Kent,,,[x],[x],[x],[x],unknown
E23000003,Lancashire,,,,,3.8621474245812246,22.701149425287355,0.6085737299006593,9.585445869370712,unknown
E23000003,Lancashire,E22000150,Blackburn with Darwen,E06000008,Blackburn with Darwen,3.1632058994760333,[u],-1.1483831973405862,9.030470914127424,unknown
E23000003,Lancashire,E22000151,Blackpool,E06000009,Blackpool,3.8059438505814636,2.898550724637681,0.1040943789035392,11.791044776119403,unknown
E23000003,Lancashire,E22000152,Burnley,E07000117,Burnley,-2.86144578313253,[u],-4.1924899744804955,1.864406779661017,unknown
E23000003,Lancashire,E22000153,Chorley,E07000118,Chorley,-12.972972972972974,9.230769230769232,-22.150438394093218,3.825136612021858,unknown
E23000003,Lancashire,E22000154,Fylde,E07000119,Fylde,-5.608820709491851,[u],-14.812085482682388,9.885386819484241,unknown
E23000003,Lancashire,E22000155,Hyndburn,E07000120,Hyndburn,13.224222585924714,0,13.010204081632654,14.258373205741625,unknown
E23000003,Lancashire,E22000156,Lancaster,E07000121,Lancaster,4.529855868222374,26.984126984126984,4.593760713061364,3.378864126527678,unknown
E23000003,Lancashire,E22000157,Pendle,E07000122,Pendle,22.827346465816916,[u],19.964136282127914,25.701459034792368,unknown
E23000003,Lancashire,E22000158,Preston,E07000123,Preston,6.942752740560293,14.772727272727273,4,14.325842696629213,unknown
E23000003,Lancashire,E22000159,Ribble Valley,E07000124,Ribble Valley,16.558441558441558,[u],19.63302752293578,12.46376811594203,unknown
E23000003,Lancashire,E22000160,Rossendale,E07000125,Rossendale,-0.043744531933508315,[u],-3.373015873015873,3.146374829001368,unknown
E23000003,Lancashire,E22000161,South Ribble,E07000126,South Ribble,9.267241379310345,[u],4.283266704740148,15.95959595959596,unknown
E23000003,Lancashire,,Unassigned Lancashire,,,[x],[x],[x],[x],unknown
E23000003,Lancashire,E22000162,West Lancashire,E07000127,West Lancashire,-2.9137529137529135,[u],-2.5282767797737855,-3.898635477582846,unknown
E23000003,Lancashire,E22000163,Wyre,E07000128,Wyre,4.639175257731959,[u],0.9888751545117428,10.207939508506616,unknown
E23000021,Leicestershire,,,,,62.6782145236509,89.81164383561644,53.87141375734532,97.64065335753176,unknown
E23000021,Leicestershire,E22000164,Blaby,E07000129,Blaby,84.7457627118644,128.84615384615387,74.84848484848486,[u],unknown
E23000021,Leicestershire,E22000165,Charnwood,E07000130,Charnwood,86.69097538742024,106.80628272251309,77.40384615384616,139.1891891891892,unknown
E23000021,Leicestershire,E22000166,Harborough,E07000131,Harborough,61.53846153846154,115.99999999999999,44.73684210526316,[u],unknown
E23000021,Leicestershire,E22000167,Hinckley and Bosworth,E07000132,Hinckley and Bosworth,52.848722986247544,67.90123456790124,44.58762886597938,[u],unknown
E23000021,Leicestershire,E22000168,Leicester,E06000016,Leicester,54.953519256308105,78.15275310834814,47.443762781186095,88.43283582089553,unknown
E23000021,Leicestershire,E22000169,Melton,E07000133,Melton,50,[u],44.81132075471698,[u],unknown
E23000021,Leicestershire,E22000170,North West Leicestershire,E07000134,North West Leicestershire,53.85694249649369,100.92592592592592,45.62383612662943,44.11764705882353,unknown
E23000021,Leicestershire,E22000171,Oadby and Wigston,E07000135,Oadby and Wigston,56.29139072847682,44.44444444444444,50.877192982456144,[u],unknown
E23000021,Leicestershire,E22000172,Rutland,E06000017,Rutland,82.45614035087719,[u],55.55555555555556,[u],unknown
E23000021,Leicestershire,,Unassigned Leicestershire,,,[x],[x],[x],[x],unknown
E23000020,Lincolnshire,,,,,21.383261714753427,45.94240837696335,13.710136674259681,39.07351460221551,unknown
E23000020,Lincolnshire,E22000173,Boston,E07000136,Boston,38.553022794846385,94.9367088607595,28.15934065934066,53.960396039603964,unknown
E23000020,Lincolnshire,E22000174,East Lindsey,E07000137,East Lindsey,20.47447137699845,55.00000000000001,11.24087591240876,40.085287846481876,unknown
E23000020,Lincolnshire,E22000175,Lincoln,E07000138,Lincoln,17.245989304812834,30.53435114503817,13.47126436781609,25.765765765765764,unknown
E23000020,Lincolnshire,E22000176,North Kesteven,E07000139,North Kesteven,-0.6329113924050633,[u],-11.570247933884298,35.8974358974359,unknown
E23000020,Lincolnshire,E22000177,South Holland,E07000140,South Holland,24.32969215491559,24.742268041237114,14.676258992805755,55.348837209302324,unknown
E23000020,Lincolnshire,E22000178,South Kesteven,E07000141,South Kesteven,14.829821717990274,40.18691588785047,8.807134894091416,26.521739130434785,unknown
E23000020,Lincolnshire,,Unassigned Lincolnshire,,,[x],[x],[x],[x],unknown
E23000020,Lincolnshire,E22000179,West Lindsey,E07000142,West Lindsey,32.021466905187836,73.25581395348837,21.38364779874214,52.742616033755276,unknown
E23000004,Merseyside,,,,,6.25,-8.492569002123142,7.6168493941142525,-5.283381364073007,unknown
E23000004,Merseyside,E22000181,Knowsley,E08000011,Knowsley,6.991774383078731,[u],6.825499034127495,7.339449541284404,unknown
E23000004,Merseyside,E22000182,Liverpool,E08000012,Liverpool,10.379018071325765,-12.871287128712872,11.916093777542747,-0.26455026455026454,unknown
E23000004,Merseyside,E22000183,Sefton,E08000014,Sefton,6.289842753931152,-16.666666666666664,7.988587731811697,-4.891304347826087,unknown
E23000004,Merseyside,E22000184,St. Helens,E08000013,St. Helens,-0.45988758303525806,9.615384615384617,0.2292263610315186,-11.25,unknown
E23000004,Merseyside,,Unassigned Merseyside,,,[x],[x],[x],[x],unknown
E23000004,Merseyside,E22000185,Wirral,E08000015,Wirral,1.910621761658031,-10.909090909090908,3.791982665222102,-16.267942583732058,unknown
E23000001,Metropolitan Police,,,,,-6.107210652396118,-9.808124106960605,-6.105899625413349,-4.6653306613226455,unknown
E23000001,Metropolitan Police,E22000186,Barking and Dagenham,E09000002,Barking and Dagenham,-8.659501115392414,-21.468926553672315,-7.537331121118748,-13.271028037383179,unknown
E23000001,Metropolitan Police,E22000187,Barnet,E09000003,Barnet,-9.155159291073176,-7.957559681697612,-8.855040660900993,-11.742777260018638,unknown
E23000001,Metropolitan Police,E22000188,Bexley,E09000004,Bexley,-6.077617769099341,-12.777777777777777,-4.380403458213256,-16.55480984340045,unknown
E23000001,Metropolitan Police,E22000189,Brent,E09000005,Brent,-8.975317875841435,0,-9.005506964690637,-11.475409836065573,unknown
E23000001,Metropolitan Police,E22000190,Bromley,E09000006,Bromley,-8.554817275747508,-11.486486486486488,-9.157292283402407,-2.5875190258751903,unknown
E23000001,Metropolitan Police,E22000191,Camden,E09000007,Camden,-11.666515467658533,-6.233766233766234,-12.268041237113401,-7.675906183368871,unknown
