"worksheet table a8: combined prevalence measure and estimated number of victims of combined measure of domestic abuse, sexual assault and stalking in the last year among people aged 16 years and over, by sex",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
"England and Wales, year ending March 2024 and year ending March 2025",,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics ,,,,,,,,,,unknown
This worksheet contains two tables. The units in Table A8a are for percentage who were victims once or more and the units in TableA8b are for number of victims (000s). Some cells refer to notes which can be found on the Notes for CSEW data worksheet.,,,,,,,,,,unknown
Link to Notes,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,unknown
Some shorthand is used in this table. [x] denotes that data are unavailable. [z] denotes not applicable. ,,,,,,,,,,unknown
"Table A8a: Combined prevalence measure of domestic abuse, sexual assault and stalking in the last year among people aged 16 years and over, by sex [note 1,2]",,,,,,,,,,unknown
Abuse type,"Apr 2023 to
 Mar 2024
All ","Apr 2024 to
 Mar 2025
All","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 statistically significant difference
 [note 4]
All","Apr 2023 to
 Mar 2024
Women ","Apr 2024 to
 Mar 2025
Women","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 statistically significant difference
 [note 4]
Women","Apr 2023 to
 Mar 2024
Men ","Apr 2024 to
 Mar 2025
Men","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 statistically significant difference
 [note 4]
Men",unknown
"Any domestic abuse, sexual assault or stalking ",11.315433832372072,10.621364421062484,[x],14.00347288339109,12.802880113585672,[x],8.56899325660229,8.369645087308356,[x],unknown
Unweighted base - number of adults [note 5],24214,25940,[z],12814,13692,[z],11400,12248,[z],unknown
"Table A8b: Estimated numbers of victims of the combined measure of domestic abuse, sexual assault and stalking in the last year among people aged 16 years and over, by sex [note 1, 2, 3]",,,,,,,,,,unknown
Abuse type,"Apr 2023 to
 Mar 2024
All ","Apr 2024 to
 Mar 2025
All","Apr 2023 to
 Mar 2024
Women ","Apr 2024 to
 Mar 2025
Women","Apr 2023 to
 Mar 2024
Men ","Apr 2024 to
 Mar 2025
Men",,,,unknown
"Any domestic abuse, sexual assault or stalking ",5448,5146,3430,3154,2027,1993,,,,unknown
Unweighted base - number of adults [note 5],24214,25940,12814,13692,11400,12248,,,,unknown
