"table s41: prevalence of domestic abuse, sexual assault and stalking among people aged 16 and over, by type [note 1, 2, 3, 4]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
"England and Wales, year ending March 2024",,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,,,,unknown
Link to notes,,,,,,,unknown
Some shorthand is used in this table. [c] denotes that figures have been suppressed due to disclosure constraints. ,,,,,,,unknown
Link to table of contents,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Abuse type,Percentage of men who were victims once or more since the age of 16,Percentage of women who were victims once or more since the age of 16,Percentage of people aged 16 and over who were victims once or more since the age of 16,Percentage of men who were victims once or more in the last year,Percentage of women who were victims once or more in the last year,Percentage of people aged 16 and over who were victims once or more in the last year,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",13.6515606441091,27.4203565267479,20.5451630072969,3.00824127045124,6.57907502428663,4.79115251243909,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",9.70684828307642,22.9335049709268,16.3236018151253,1.89378477455112,4.60347666835374,3.24632576267326,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",6.23178281792568,11.0948892314934,8.65882261093153,1.32702964070438,2.47989134251583,1.90203554196978,unknown
Partner abuse - non-sexual,8.72115923578856,19.3172265252038,14.0357407443081,1.70282080316628,4.02627910806135,2.8677415298345,unknown
"Non-physical abuse (emotional, financial)",5.84064641494888,14.0969160263842,9.98636883970121,1.43118598540719,3.19800073411801,2.31780317123726,unknown
Threats or force,5.67765026224151,15.5802378149712,10.6381201883124,0.483646783299725,1.64009993951616,1.0628216235747,unknown
Threats,3.09731195865106,12.1045690699796,7.60397115191138,0.18190704311884,1.21850819443341,0.700502509721889,unknown
Force,4.90385007488854,13.0749339503498,8.98869391923872,0.374675574797502,0.894329858602924,0.634356315817235,unknown
Family abuse - non-sexual,5.40244271167519,8.07453185645794,6.74365709230028,1.21184660261901,2.1073389498809,1.66136406714,unknown
"Non-physical abuse (emotional, financial)",2.7543032173127,5.28310642753634,4.02337920358416,0.688870272595389,1.60649889060868,1.14952281225231,unknown
Threats or force,4.00482676694095,5.865163916643,4.93884802802618,0.658343919224359,0.865499820579408,0.762356322716923,unknown
Threats,2.45655579793168,4.32513274483266,3.39354770243259,0.456227460715055,0.699250194283206,0.578121515469374,unknown
Force,3.22971862146883,4.30331256275846,3.76779878860793,0.249815720238408,0.267367968384977,0.258609637571769,unknown
Any sexual assault (including attempts),5.68418624585319,26.8921827969009,16.2995473293078,0.784165308385663,3.44674546532747,2.11552383091544,unknown
Sexual assault by rape or penetration including attempts,0.458802605530975,8.89372555727558,4.67842827159513,0.0632700759467693,0.614157569578937,0.338846178156879,unknown
Sexual assault by rape or penetration excluding attempts,0.280693444954627,7.549345526037,3.91310532923657,[c],0.503411184108717,0.262869159595515,unknown
- Rape including attempts,0.365576515671641,7.81984159845573,4.09120468749203,[c],0.438461388669106,0.235197504072391,unknown
- Rape excluding attempts,0.213381722487387,6.58129649396418,3.39252755465481,[c],0.349823405969802,0.182415287570154,unknown
- Assault by penetration including attempts,0.240909584413988,6.3613141530043,3.30119911967221,[c],0.534114089175502,0.282672911229229,unknown
- Assault by penetration excluding attempts,0.166509797392683,4.93806400343597,2.54903767633763,[c],0.422347823943092,0.214440258720295,unknown
Indecent exposure or unwanted sexual touching,5.56330110965799,25.6690557064017,15.63972416516,0.738029856628341,3.09911976733288,1.92132933189698,unknown
- Indecent exposure,1.73502315199541,12.6177004785001,7.16522543594818,0.312564953395757,1.06468296415104,0.687810315938917,unknown
- Unwanted sexual touching,4.60147642005146,20.7658438673979,12.6712522106207,0.504882934495156,2.511463078346,1.50641858861997,unknown
Any sexual assault (including attempts) by a partner,0.842398991004047,8.35377838037787,4.59851483158821,0.0392188281613526,0.418295155251427,0.228666582615433,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.161459732209263,4.8843015400886,2.52368034858008,[c],0.184257136288353,0.0957286832290763,unknown
Indecent exposure or unwanted sexual touching by a partner,0.792953832297429,7.39337953677539,4.09887375116635,0.0389682665086183,0.325697773507203,0.182581949140329,unknown
- Indecent exposure by a partner,[c],1.36225979297992,0.690365876298461,[c],0.13909643997941,0.069405150129524,unknown
- Unwanted sexual touching by a partner,0.789226365072659,7.00234694345689,3.88977773053549,0.0393948890767804,0.216401190420619,0.127760012489684,unknown
Any sexual assault (including attempts) by a family member,0.380871011973217,2.4109153232397,1.39526988560106,[c],0.13677290882344,0.0761780378148447,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.124467939353659,0.81663750378031,0.470442993844171,[c],[c],0.0191338550905318,unknown
Indecent exposure or unwanted sexual touching by a family member,0.297009319188088,2.13588963303709,1.21803909200115,[c],0.11268949876271,0.0564451834481213,unknown
- Indecent exposure by a family member,0.170935174389782,0.734749034462738,0.452216113991235,[c],[c],[c],unknown
- Unwanted sexual touching by a family member,0.189684770298985,1.81513002817988,1.00108412612119,[c],0.113386600830563,0.0565941628495795,unknown
Stalking,8.66136069195425,20.1964939467153,14.4312682589751,2.28480118493711,4.04663001188842,3.16621609751077,unknown
Stalking by a partner,2.23081737697969,8.2165199805487,5.22546133167144,0.374737444740548,0.929266681459614,0.652182623302288,unknown
Stalking by a family member,1.24367007447586,3.18066232157143,2.2122634784282,0.176055789557266,0.410767572284686,0.293419867021897,unknown
Unweighted base - number of people aged 16 and over [note 5],5467,6025,11492,5442,5952,11394,unknown
