"table a9a: prevalence of domestic abuse among people aged 16 years and over, by abuse type and sex [note 1, 2, 3, 4]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
"England and Wales, year ending March 2025",,,,,,,unknown
This worksheet contains one table. The units used in this table are percentages. Some cells refer to notes which can be found on the Notes worksheet. ,,,,,,,unknown
Link to Notes,,,,,,,unknown
Link to Table of contents,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Type of abuse [note 5],Percentage of all people aged 16 and over who were victims once or more since the age of 16,Percentage of women aged 16 and over who were victims once or more since the age of 16,Percentage of men aged 16 and over who were victims once or more since the age of 16,Percentage of all people aged 16 and over who were victims once or more in the last year,Percentage of women aged 16 and over who were victims once or more in the last year,Percentage of men aged 16 and over who were victims once or more in the last year,unknown
Any domestic abuse,25.7539756781957,29.6143453177398,21.7679526148869,7.81374819686045,9.08746334278954,6.49806769198885,unknown
Emotional abuse (partner or family),18.0599920554069,20.9616222865181,15.0594302535212,5.00196211272637,5.89261180924847,4.08080681562852,unknown
Economic abuse (partner or family),11.0203613353266,13.5289578257018,8.42316326495804,2.66104886040202,3.27098824825123,2.02956691133541,unknown
Health abuse (partner or family),4.19633715343767,5.4594054624288,2.89019728431106,0.704632637136287,0.715866680435638,0.69301316132981,unknown
Marital status-related abuse (family),0.606851003681953,0.699856430757022,0.51071527851092,0.147882595368742,0.158227403689916,0.137189610228115,unknown
Threats (partner or family),13.8753637666469,17.9183304231059,9.69353892744466,2.64209884050957,3.25822104557922,2.00481553840067,unknown
Physical abuse (partner or family),9.81435942101615,13.1028897927675,6.41287371707996,1.28097050658545,1.53359339397197,1.01962195418074,unknown
Domestic sexual assault (partner or family) [note 6],7.30301827159723,11.8239582163908,2.63047783038482,1.57227310332026,2.33584720392156,0.783094103269442,unknown
Domestic stalking (partner or family) [note 7],9.89517664384994,12.619695914833,7.08044851734194,2.18052686400608,2.55728262919987,1.79129671232051,unknown
Any partner abuse,22.4743267875181,26.5826373967857,18.2426901112462,6.13747755647375,7.31120145771313,4.92827359829919,unknown
Emotional abuse by a partner,16.2490714815506,19.1276600974261,13.2749743106277,4.04718901351539,4.84295788711543,3.22525193689274,unknown
Economic abuse by a partner,9.51609209160689,11.8177207448983,7.14306803759115,2.11846681646584,2.48851410072812,1.73694084553137,unknown
Health abuse by a partner,3.92236463276369,5.10894241043908,2.69903929634558,0.617187991445661,0.567573791142239,0.668349235229173,unknown
Threats by a partner,12.136987484623,16.0827087893866,8.06830258564012,2.13579924948332,2.7061220273495,1.54770305752759,unknown
Physical abuse by a partner,8.27431429324589,11.4514951634235,5.0055744178618,0.910487436358258,1.03825528407591,0.779053529279693,unknown
Sexual assault by a partner [note 6],7.15483525931882,11.5402175220149,2.63828512468027,1.50445445696749,2.21534807493841,0.772297834437083,unknown
Stalking by a partner [note 7],8.86710517196286,11.5962878477211,6.05695945961886,1.71718348933643,2.08351172562535,1.33998787994695,unknown
Any family abuse,8.65251806899709,9.87958083740183,7.38254951450612,2.6774771407326,2.91781860238319,2.42865474094892,unknown
Emotional abuse by a family member,4.27881261420818,4.87159801610822,3.6653679614976,1.4766424434203,1.66463286033765,1.28202228023262,unknown
Economic abuse by a family member,2.86010345050671,3.44561151218639,2.25276676128403,0.780818433195668,1.01633084427023,0.536376038346153,unknown
Health abuse by a family member,0.645773295841987,0.916785614429845,0.365365488746171,0.131141129534706,0.210397611891602,0.0491308940538914,unknown
Marital status-related abuse by a family member,0.606851003681953,0.699856430757022,0.51071527851092,0.147882595368742,0.158227403689916,0.137189610228115,unknown
Threats by a family member,3.68589380093762,4.23827830442509,3.11361144141557,0.696404208237352,0.724342366542165,0.667461373790572,unknown
Physical abuse by a family member,2.83321019565172,3.42056448019476,2.22483299669403,0.433383832080452,0.575144640860027,0.286589669794424,unknown
Sexual assault by a family member [note 6],0.365964370441353,0.650360472714139,0.0714841122618255,0.112704772116974,0.180700162459738,0.0422983919200016,unknown
Stalking by a family member [note 7],2.09035214069131,2.46288676684907,1.70459164538937,0.662771182431231,0.651212015155481,0.674739136361802,unknown
Unweighted base - number of people aged 16 years and over [note 8],13005,6887,6118,13003,6887,6116,unknown
